sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
189,2,1,5,4,0,0,1.4296833,9.777500000000003,f5.\,\
189,3,1,5,4,0,0,1.4669667,14.721900000000003,f5./,/
189,4,1,5,4,0,0,1.4782916,19.18710000000001,f5.=,=
190,0,2,5,4,0,0,1.5596994,0.0,f5.?,?
190,1,2,5,4,0,0,1.5427722,4.732399999999871,f5.=,=
190,2,2,5,4,0,0,1.5307163999999998,9.548900000000003,f5.=,=
190,3,2,5,4,0,0,1.5451987000000005,14.2183,f5.=,=
190,4,2,5,4,0,0,1.4682038,19.270700000000037,f5.\,\
190,5,2,5,4,0,0,1.3442992,24.21659999999997,f5.\,\
190,6,2,5,4,0,0,1.2766088000000002,28.97160000000008,f5.\,\
190,7,2,5,4,0,0,1.3221918,33.615299999999934,f5./,/
190,8,2,5,4,0,0,1.3621128999999998,38.490299999999934,f5./,/
190,9,2,5,4,0,0,1.3140993,43.15989999999988,f5.\,\
190,10,2,5,4,0,0,1.3449605999999998,47.833900000000085,f5./,/
190,11,2,5,4,0,0,1.3434194,52.51780000000008,f5.=,=
191,0,1,8,0,0,0,0.276,0.0,i1.?,?
191,1,1,1,0,0,0,0.0958583,0.2759999999998399,b1.?,?
191,2,1,0,0,0,0,0.1839415999999999,4.38989999999967,a1.?,?
191,3,1,0,0,0,0,0.1295834,4.573841599999923,a1.\,\
191,4,1,0,0,0,0,0.1769583,7.89449999999988,a1./,/
191,5,1,1,0,0,0,0.12615,8.071458299999904,b1.?,?
191,6,1,6,0,0,0,0.3146417,11.065999999999804,g1.?,?
191,7,1,6,0,0,0,0.3270083,14.6887999999999,g1.=,=
191,8,1,6,0,0,0,0.31865,18.96119999999973,g1.=,=
191,9,1,6,0,0,0,0.3267004,22.96360000000004,g1.=,=
191,10,1,6,0,0,0,0.3270666,26.79279999999972,g1.=,=
191,11,1,6,0,0,0,0.333575,30.52610000000004,g1.=,=
191,12,1,0,0,0,0,0.1914,34.4683,a1.?,?
191,13,1,1,0,0,0,0.13455,34.65970000000016,b1.?,?
191,14,1,6,0,0,0,0.334525,38.78690000000006,g1.?,?
191,15,1,0,0,0,0,0.18855,43.14519999999993,a1.?,?
191,16,1,1,0,0,0,0.1341083,43.33374999999978,b1.?,?
191,17,1,1,0,0,0,0.2022417,47.58839999999964,b1./,/
191,18,1,0,0,0,0,0.1391,47.79064169999992,a1.?,?
191,19,1,0,0,0,0,0.1885333,51.42849999999999,a1./,/
191,20,1,1,0,0,0,0.1316167,51.6170333,b1.?,?
191,21,1,0,0,0,0,0.189525,55.54759999999988,a1.?,?
191,22,1,1,0,0,0,0.1440584,55.73712499999965,b1.?,?
191,23,1,6,0,0,0,0.316125,59.95119999999997,g1.?,?
191,24,1,1,0,0,0,0.141975,60.2673249999998,b1.?,?
191,25,1,8,0,1,0,0.37895,64.35320000000002,i1*?,?
192,0,1,2,0,0,0,0.2361834,0.0,c1.?,?
192,1,1,5,0,1,0,0.3237417,4.704516700000568,f1*?,?
192,2,1,2,0,0,0,0.2309417,9.341483300000618,c1.?,?
192,3,1,5,0,0,0,0.3085167,13.76421670000036,f1.?,?
193,0,1,5,4,0,0,1.5589,0.0,f5.?,?
193,1,1,5,4,0,0,1.6086332999999997,4.760099999999511,f5./,/
193,2,1,5,4,0,0,1.5950417,9.181399999999485,f5.=,=
194,0,1,5,4,0,0,1.5420916,0.0,f5.?,?
194,1,1,5,4,0,0,1.4976584,3.9719999999979336,f5.\,\
194,2,1,5,4,0,0,1.5481166,7.924299999998766,f5./,/
194,3,1,5,4,0,0,1.5432667,12.319899999998595,f5.=,=
194,4,1,5,4,0,0,1.5625084,16.572699999996985,f5./,/
194,5,1,5,4,0,0,1.5919667,20.75720000000001,f5./,/
194,6,1,5,4,0,0,1.557875,25.093299999996816,f5.\,\
195,0,1,0,2,0,0,0.8981,0.0,a3.?,?
195,1,1,1,0,0,0,0.271325,0.8981000000021595,b1.?,?
195,2,1,0,0,0,0,0.4039583,1.1694250000000466,a1.?,?
196,0,2,2,2,0,0,0.6592937,0.0,c3.?,?
196,1,2,3,1,0,0,0.4959588,0.6592936999986705,d2.?,?
197,0,2,5,2,0,1,0.7579918000000001,0.0,f3.?,?
197,1,1,8,0,0,0,0.2175083,0.3901000000005297,i1.?,?
197,2,1,6,0,0,1,0.3131333,4.704200000000128,g1.?,?
197,3,2,5,2,1,1,0.7404858999999999,4.8739000000023225,f3*=,=
197,4,1,3,0,0,1,0.2524916,9.244200000001,d1.?,?
197,5,2,2,1,1,1,0.4908554,9.351273200001742,c2*?,?
197,6,1,6,0,1,1,0.3043582999999999,13.403800000000048,g1*?,?
197,7,2,2,1,0,0,0.4964471,13.64459160000115,c2.=,=
197,8,2,1,0,0,1,0.425937,17.785400000000664,b1.?,?
197,9,1,6,0,0,1,0.3163417,18.056800000002116,g1.=,=
197,10,2,0,0,1,1,0.2697679,18.21133700000064,a1*?,?
197,11,1,0,0,0,1,0.184575,22.636200000000827,a1.?,?
197,12,2,2,1,0,1,0.5163414,22.739031000000978,c2.?,?
197,13,1,0,0,1,1,0.1335584,22.82077500000014,a1*\,\
197,14,1,3,0,0,1,0.2181,27.12105829999928,d1.?,?
197,15,2,1,0,0,1,0.431374,27.234700000000885,b1.?,?
197,16,2,0,0,0,1,0.2786074,27.666074000000663,a1.?,?
197,17,1,6,0,0,1,0.3191416,31.330000000001743,g1.?,?
197,18,2,1,0,0,1,0.4472206,31.40309999999954,b1.?,?
197,19,2,1,0,0,0,0.2836419,31.850320600002306,b1.\,\
197,20,2,1,1,0,0,0.4549834,35.89719999999943,b2.?,?
197,21,2,0,0,1,0,0.2843915999999999,36.3521834000021,a1*?,?
197,22,1,2,0,0,1,0.22165,40.43188329999976,c1.?,?
197,23,2,2,1,0,1,0.5207712,40.53938540000309,c2.?,?
197,24,1,6,0,0,1,0.3263317999999999,44.25770000000193,g1.?,?
197,25,2,3,1,1,1,0.5648437000000001,44.39470000000074,d2*?,?
197,26,2,1,0,0,1,0.4372007,48.2544999999991,b1.?,?
197,27,1,1,0,0,1,0.1998885,48.25800000000163,b1.?,?
197,28,1,0,0,0,1,0.1342115,48.45788850000099,a1.?,?
197,29,2,1,0,0,1,0.2673591,48.69170070000109,b1.\,\
197,30,1,5,0,0,0,0.3260834,52.63669999999911,f1.?,?
198,0,1,1,0,0,0,0.190625,0.0,b1.?,?
198,1,1,0,0,0,0,0.12765,0.1906249999992724,a1.?,?
198,2,1,1,0,0,0,0.1860583,4.835799999997107,b1.?,?
198,3,1,0,0,0,1,0.1277334,5.021858299998712,a1.?,?
198,4,2,5,2,0,0,0.7617083,9.626899999999296,f3.?,?
198,5,2,5,2,0,0,0.7777416,20.13329999999769,f3.=,=
198,6,2,1,1,0,0,0.4731084,28.84769999999844,b2.?,?
198,7,2,0,0,0,0,0.3024,29.320808399999805,a1.?,?
198,8,2,5,2,0,1,0.7849512000000001,35.117999999998574,f3.?,?
198,9,1,5,0,0,1,0.3328473,40.77559999999721,f1.?,?
198,10,2,5,2,0,1,0.732004,40.78240000000005,f3.\,\
198,11,1,2,0,0,1,0.2446676,45.80189999999857,c1.?,?
198,12,2,5,2,1,1,0.7409384,46.01339999999982,f3*=,=
199,0,2,6,0,0,0,0.305688,0.0,g1.?,?
199,1,2,1,0,0,0,0.1822666,6.011399999999412,b1.?,?
199,2,2,1,0,0,0,0.1258035,6.193666600000142,b1.\,\
200,0,2,5,3,0,0,0.99164,0.0,f4.?,?
200,1,2,5,3,0,0,1.015632,4.420900000000074,f4./,/
200,2,2,5,3,0,0,1.008632,8.51130000000012,f4.=,=
200,3,2,5,3,0,0,0.99392,12.419100000000071,f4.=,=
200,4,2,5,3,0,0,1.014712,16.142700000000332,f4./,/
200,5,2,5,3,0,0,1.03784,19.857600000000275,f4./,/
200,6,2,5,3,0,0,1.0192,23.84720000000016,f4.=,=
200,7,2,5,3,0,0,1.040784,27.69650000000001,f4./,/
200,8,2,5,3,0,0,1.025424,31.6215000000002,f4.=,=
201,0,2,5,3,0,1,0.939928,0.0,f4.?,?
201,1,2,5,3,0,0,0.938768,4.650200000000041,f4.=,=
201,2,2,5,3,0,0,0.9558589,8.832699999999932,f4.=,=
201,3,2,5,3,0,0,0.976472,13.230000000000018,f4./,/
201,4,2,5,3,0,0,0.972576,17.48630000000003,f4.=,=
202,0,2,5,4,0,0,1.5588901,0.0,f5.?,?
202,1,2,5,4,0,0,1.608768,4.76050000000032,f5./,/
202,2,2,5,4,0,0,1.5949283,9.182200000000194,f5.=,=
203,0,2,5,4,0,0,1.381584,0.0,f5.?,?
203,1,2,5,4,1,1,1.2274192,2.638900000000831,f5*\,\
203,2,3,4,2,0,1,0.7426004,7.317278300000908,e3.?,?
203,3,2,4,2,1,1,0.7662192,7.455424100000528,e3*?,?
203,4,2,4,2,0,1,0.7375537000000001,10.961130400000911,e3.\,\
203,5,3,4,2,1,1,0.7396327,11.182566400000724,e3*=,=
203,6,3,5,4,0,1,1.1817146,14.109800000000178,f5.?,?
203,7,2,4,2,0,1,0.7402974,14.340373200000611,e3.=,=
203,8,2,5,4,1,0,1.2125103000000002,17.00630000000001,f5*?,?
203,9,2,4,2,0,1,0.7600584,20.95575000000008,e3.?,?
203,10,3,4,2,0,1,0.752364,21.134689100000287,e3.?,?
203,11,2,5,4,1,1,1.2774953,24.129500000000007,f5*?,?
203,12,3,4,2,0,1,0.7598108,25.227520400000685,e3.=,=
203,13,2,5,4,0,1,1.2877105,27.855900000000474,f5.=,=
203,14,3,5,4,0,1,1.2181454,29.025300000000243,f5.?,?
203,15,2,5,4,0,1,1.3120374,31.909500000000666,f5./,/
203,16,3,5,4,0,1,1.2209721,33.3112000000001,f5.=,=
203,17,2,5,4,0,1,1.3291536,35.94510000000082,f5.=,=
203,18,3,5,4,0,1,1.2119434,37.34280000000035,f5.=,=
203,19,2,5,4,0,0,1.3410315,41.61779999999999,f5.=,=
203,20,2,5,4,0,0,1.3932559999999998,46.28660000000036,f5./,/
204,0,2,5,4,0,0,1.52868,0.0,f5.?,?
204,1,2,5,4,0,0,1.5173401000000002,4.097600000000057,f5.=,=
204,2,2,5,4,0,0,1.515696,8.044100000000071,f5.=,=
204,3,2,5,4,0,0,1.5085656000000005,11.890400000000229,f5.=,=
205,0,2,5,4,0,0,1.4206478,0.0,f5.?,?
205,1,2,5,4,0,0,1.4217236,6.680199999999786,f5.=,=
205,2,2,5,4,0,0,1.4398862,10.798999999999978,f5.=,=
205,3,2,5,4,1,1,1.4088965999999998,14.46810000000005,f5*\,\
205,4,3,4,2,1,0,0.8219337000000001,14.995674900000267,e3*?,?
205,5,2,5,4,0,1,1.2923859,18.491799999999785,f5.\,\
205,6,3,4,2,0,0,0.8313683999999999,18.96902559999944,e3.=,=
205,7,3,5,4,0,1,1.2862792,22.71469999999954,f5.?,?
205,8,2,5,4,0,1,1.2838657,22.77390000000014,f5.=,=
